(18.388698, -66.061339)
(19.701189, -155.080847)
(19.704756, -155.069653)
(20.88956, -156.477252)
(21.27148, -157.800213)
(21.28995, -157.807851)
(21.298598, -157.818979)
(21.310306, -157.859645)
(21.321785, -157.87)
(21.35531, -158.056403)
(21.39267, -157.983771)
(21.407051, -157.813307)
(21.642074, -157.926586)
(21.968887, -159.395883)
(24.582748, -81.74446)
(25.66273, -80.393361)
(25.72126, -80.278662)
(25.756567, -80.36778)
(25.75732, -80.373928)
(25.76084, -80.333114)
(25.767091, -80.370117)
(25.773542, -80.321789)
(25.777717, -80.190856)
(25.780018, -80.239586)
(25.790008, -80.18839)
(25.804092, -80.263591)
(25.81071, -80.347651)
(25.855552, -80.319292)
(25.86178, -80.321846)
(25.878908, -80.198925)
(25.894337, -80.164797)
(25.899628, -97.492241)
(25.916128, -80.29513)
(25.918278, -80.270753)
(25.922071, -80.253273)
(25.936988, -97.501124)
(25.987643, -80.339842)
(26.010968, -80.246116)
(26.031736, -80.198024)
(26.070447, -80.251766)
(26.079337, -80.24248)
(26.085022, -80.232201)
(26.119422, -80.14183)
(26.141141, -81.763568)
(26.16574, -80.205267)
(26.185869, -80.163959)
(26.20385, -97.675281)
(26.211217, -98.201038)
(26.217591, -98.253634)
(26.239856, -98.234872)
(26.24215, -98.177978)
(26.24278, -80.192271)
(26.270878, -80.203455)
(26.306759, -98.173567)
(26.372421, -80.102978)
(26.385985, -80.122806)
(26.391218, -80.108331)
(26.438379, -80.123788)
(26.463638, -81.7726)
(26.54289, -80.092161)
(26.552403, -81.887102)
(26.596097, -81.877644)
(26.610865, -81.821419)
(26.61256, -80.08653)
(26.647517, -81.836596)
(26.702216, -80.085966)
(26.702663, -80.085147)
(26.7044, -80.05247)
(26.705217, -80.136749)
(26.70653, -80.121497)
(27.285486, -82.500827)
(27.360931, -82.547803)
(27.384925, -82.55858)
(27.42416, -80.358682)
(27.43804, -82.590887)
(27.447894, -82.481088)
(27.506477, -99.520772)
(27.525168, -97.882387)
(27.571172, -99.436043)
(27.68504, -97.363145)
(27.713723, -97.32395)
(27.715798, -82.687043)
(27.761183, -82.681534)
(27.763619, -97.40762)
(27.838778, -81.532315)
(27.865391, -82.648151)
(27.89484, -82.721372)
(27.90242, -82.717331)
(27.911922, -82.719064)
(27.934888, -82.456253)
(27.948455, -82.46483)
(27.965294, -82.78558)
(27.980705, -82.337004)
(27.982269, -82.500357)
(27.997242, -82.435933)
(27.997442, -82.35991)
(28.029733, -81.918382)
(28.032411, -81.711873)
(28.032443, -81.948203)
(28.061458, -82.413232)
(28.065754, -80.624378)
(28.065815, -80.622893)
(28.2751, -82.646727)
(28.336776, -82.257801)
(28.38361, -80.756474)
(28.424285, -81.409713)
(28.435194, -97.755896)
(28.44862, -81.399661)
(28.471695, -81.415996)
(28.520898, -81.471466)
(28.559574, -81.571532)
(28.56052, -81.309471)
(28.571233, -81.208356)
(28.576142, -81.367687)
(28.592787, -81.349239)
(28.596546, -81.301286)
(28.602159, -81.200889)
(28.615784, -81.312669)
(28.745482, -81.308003)
(28.816248, -96.976334)
(28.816446, -96.979226)
(28.828649, -81.797193)
(28.833446, -81.690874)
(29.035475, -81.300746)
(29.048604, -95.40934)
(29.140099, -82.197343)
(29.166079, -82.175692)
(29.189903, -81.048367)
(29.203275, -81.049685)
(29.207195, -81.032946)
(29.219671, -99.741237)
(29.284735, -94.807686)
(29.310758, -94.775956)
(29.322955, -98.543468)
(29.3238, -96.085815)
(29.355774, -98.494238)
(29.35599, -98.4891)
(29.39581, -94.999602)
(29.396244, -95.240671)
(29.41508, -98.453285)
(29.426194, -98.54365)
(29.44634, -98.497647)
(29.453244, -98.562778)
(29.4585, -98.627397)
(29.462682, -98.48186)
(29.46708, -98.46583)
(29.471308, -98.70513)
(29.488876, -98.576627)
(29.49003, -98.582351)
(29.507685, -98.585653)
(29.508107, -98.575655)
(29.517063, -98.567486)
(29.538442, -98.568618)
(29.545802, -98.323246)
(29.573261, -97.982669)
(29.582523, -95.098129)
(29.583709, -98.620657)
(29.64629, -82.347911)
(29.647516, -81.681387)
(29.649413, -82.339848)
(29.660032, -95.114677)
(29.677415, -95.544702)
(29.681037, -82.433143)
(29.69036, -95.532975)
(29.693819, -95.515954)
(29.701897, -95.517146)
(29.702873, -95.403183)
(29.717897, -95.402035)
(29.720393, -95.343537)
(29.721046, -95.361113)
(29.732505, -94.978184)
(29.736438, -95.393102)
(29.742114, -95.377319)
(29.7661, -95.359338)
(29.794486, -90.801571)
(29.799602, -95.454298)
(29.838306, -95.562287)
(29.838386, -95.560414)
(29.880385, -93.925886)
(29.888885, -97.943029)
(29.892733, -81.314887)
(29.912003, -89.99445)
(29.936141, -90.120417)
(29.940069, -90.122144)
(29.950897, -95.413192)
(29.95419, -89.95888)
(29.957272, -90.083145)
(29.964162, -90.107307)
(29.985149, -90.103962)
(29.990487, -95.412113)
(29.996587, -90.06464)
(30.002779, -90.172771)
(30.004336, -90.043439)
(30.022309, -95.431325)
(30.026162, -90.044912)
(30.027704, -90.067142)
(30.031458, -99.130586)
(30.042738, -94.072244)
(30.047885, -94.077126)
(30.0922, -93.732235)
(30.092425, -95.989475)
(30.160457, -96.40852)
(30.175298, -82.5679)
(30.178187, -93.217222)
(30.185542, -85.727918)
(30.18737, -95.488103)
(30.19576, -81.751361)
(30.212191, -92.020165)
(30.217331, -93.16252)
(30.218616, -92.050933)
(30.226743, -97.784318)
(30.229618, -97.754998)
(30.23886, -81.581748)
(30.243517, -81.586421)
(30.264667, -97.721691)
(30.27194, -81.509144)
(30.282647, -81.560428)
(30.282825, -97.738273)
(30.322744, -97.712505)
(30.322978, -97.699064)
(30.326455, -97.717865)
(30.329288, -87.653162)
(30.334918, -81.659901)
(30.34479, -81.684879)
(30.353227, -81.60458)
(30.363139, -103.651469)
(30.369764, -91.030485)
(30.371175, -97.73985)
(30.401379, -91.110587)
(30.414986, -91.178921)
(30.420232, -97.835703)
(30.428504, -84.290226)
(30.440756, -84.291921)
(30.442037, -84.317892)
(30.443866, -84.339)
(30.448276, -91.137935)
(30.448534, -84.339057)
(30.473292, -92.434523)
(30.479267, -87.200265)
(30.487547, -87.290659)
(30.494049, -90.104008)
(30.510415, -87.183112)
(30.514652, -90.468676)
(30.524558, -91.190105)
(30.549076, -87.218511)
(30.618726, -96.336475)
(30.634341, -97.665738)
(30.693972, -88.056982)
(30.694751, -88.138199)
(30.696033, -88.178711)
(30.714738, -95.546205)
(30.789228, -85.23139)
(30.815576, -83.963587)
(30.847402, -83.289282)
(30.851343, -87.778193)
(30.863799, -83.9514)
(30.889221, -83.35381)
(31.066793, -97.463471)
(31.070715, -97.350471)
(31.120516, -97.810827)
(31.182745, -81.485973)
(31.212781, -82.3821)
(31.276699, -92.475371)
(31.287444, -94.731625)
(31.295121, -90.443295)
(31.297496, -85.836956)
(31.305264, -89.291815)
(31.310461, -92.446693)
(31.315274, -85.465836)
(31.324528, -92.425973)
(31.32661, -89.331236)
(31.440914, -100.465051)
(31.481889, -83.528281)
(31.495903, -82.855231)
(31.546872, -97.121041)
(31.55434, -84.174284)
(31.564597, -110.246946)
(31.56928, -84.141825)
(31.58947, -97.171228)
(31.596936, -89.200895)
(31.621056, -94.64908)
(31.639295, -97.08471)
(31.675953, -106.319269)
(31.716467, -98.985204)
(31.750666, -93.097797)
(31.77015, -106.504098)
(31.773359, -106.373616)
(31.788346, -106.413158)
(31.800672, -85.957094)
(31.866812, -102.383477)
(31.877794, -106.425881)
(31.889509, -102.329634)
(31.999481, -81.105531)
(32.010928, -97.088332)
(32.023211, -81.114753)
(32.024781, -81.063377)
(32.029646, -102.106153)
(32.054662, -84.217738)
(32.072963, -81.093849)
(32.076061, -96.498731)
(32.156214, -94.356355)
(32.196596, -95.858513)
(32.20393, -82.365827)
(32.214988, -98.214866)
(32.222125, -110.886659)
(32.232672, -110.950815)
(32.248067, -110.878783)
(32.252292, -101.450104)
(32.256109, -90.416118)
(32.281568, -106.752069)
(32.296105, -90.207405)
(32.300562, -90.188097)
(32.303308, -80.973595)
(32.315772, -95.254337)
(32.318415, -90.169228)
(32.322746, -90.179957)
(32.335515, -90.329821)
(32.33601, -95.284122)
